================================================================================
ANÁLISIS COMPLETO DE RENDIMIENTO DE ALGORITMOS DE ORDENAMIENTO
================================================================================

INFORMACIÓN GENERAL:
- Total de pruebas realizadas: 1000
- Rango de tamaños: 1,000 a 1,000,000 elementos
- Incremento: 1,000 elementos
- Fecha de ejecución: 1/10/2025, 08:00:43

================================================================================
TABLA COMPLETA DE RESULTADOS:
================================================================================
Tamaño         Elementos   Descendente (ms)    Aleatorio (ms)
--------------------------------------------------------------------------------
1,000          1           0.0241              0.0378
2,000          2           0.0178              0.0062
3,000          3           0.0057              0.0032
4,000          4           0.0012              0.0036
5,000          5           0.0023              0.0925
6,000          6           0.0017              0.0133
7,000          7           0.0012              0.0120
8,000          8           0.0009              0.0028
9,000          9           0.0018              0.0029
10,000         10          0.0017              0.0030
11,000         11          0.0021              0.0023
12,000         12          0.0017              0.0040
13,000         13          0.0008              0.0035
14,000         14          0.0008              0.0037
15,000         15          0.0025              0.0039
16,000         16          0.0009              0.0042
17,000         17          0.0009              0.0044
18,000         18          0.0019              0.0043
19,000         19          0.0009              0.0044
20,000         20          0.0008              0.0053
21,000         21          0.0008              0.0059
22,000         22          0.0009              0.0058
23,000         23          0.0009              0.0060
24,000         24          0.0009              0.0063
25,000         25          0.0019              0.0085
26,000         26          0.0026              0.0058
27,000         27          0.0010              0.0066
28,000         28          0.0009              0.0073
29,000         29          0.0019              0.0071
30,000         30          0.0010              0.0071
31,000         31          0.0019              0.0076
32,000         32          0.0019              0.0147
33,000         33          0.0011              0.0083
34,000         34          0.0011              0.0077
35,000         35          0.0020              0.0082
36,000         36          0.0021              0.0087
37,000         37          0.0023              0.0312
38,000         38          0.0024              0.0086
39,000         39          0.0022              0.0091
40,000         40          0.0021              0.0091
41,000         41          0.0012              0.0098
42,000         42          0.0012              0.0110
43,000         43          0.0023              0.0095
44,000         44          0.0012              0.0106
45,000         45          0.0013              0.0108
46,000         46          0.0024              0.0113
47,000         47          0.0013              0.0102
48,000         48          0.0013              0.0136
49,000         49          0.0015              0.0114
50,000         50          0.0013              0.0115
51,000         51          0.0016              0.4892
52,000         52          0.0021              0.0162
53,000         53          0.0026              0.0124
54,000         54          0.0024              0.0124
55,000         55          0.0017              0.0137
56,000         56          0.0015              0.0168
57,000         57          0.0038              0.0144
58,000         58          0.0015              0.0152
59,000         59          0.0030              0.0153
60,000         60          0.0015              0.0156
61,000         61          0.0022              0.0154
62,000         62          0.0032              0.0180
63,000         63          0.0032              0.0206
64,000         64          0.0017              0.2004
65,000         65          0.0020              0.0175
66,000         66          0.0018              0.0189
67,000         67          0.0016              0.0178
68,000         68          0.0018              0.0177
69,000         69          0.0035              0.0182
70,000         70          0.0034              0.0228
71,000         71          0.0030              0.0205
72,000         72          0.0037              0.0269
73,000         73          0.0039              0.0203
74,000         74          0.0024              0.0242
75,000         75          0.0032              0.0267
76,000         76          0.0044              0.0246
77,000         77          0.0019              0.0270
78,000         78          0.0025              0.0270
79,000         79          0.0040              0.0280
80,000         80          0.0045              0.0277
81,000         81          0.0048              0.0366
82,000         82          0.0047              0.0262
83,000         83          0.0026              0.0298
84,000         84          0.0049              0.0321
85,000         85          0.0165              0.0297
86,000         86          0.0026              0.0173
87,000         87          0.0025              0.0178
88,000         88          0.0026              0.0256
89,000         89          0.0022              0.0175
90,000         90          0.0021              0.0168
91,000         91          0.0021              0.0160
92,000         92          0.0023              0.0243
93,000         93          0.0023              0.0180
94,000         94          0.0021              0.0189
95,000         95          0.0026              0.0196
96,000         96          0.0026              0.0184
97,000         97          0.0026              0.0201
98,000         98          0.0024              0.0196
99,000         99          0.0026              0.0203
100,000        100         0.0027              0.0180
101,000        101         0.0283              0.0096
102,000        102         0.0133              0.0079
103,000        103         0.0130              0.0076
104,000        104         0.0125              0.0068
105,000        105         0.0128              0.0075
106,000        106         0.0129              0.0068
107,000        107         0.0132              0.0073
108,000        108         0.0129              0.0075
109,000        109         0.0133              0.0071
110,000        110         0.0128              0.0080
111,000        111         0.0131              0.0080
112,000        112         0.0133              0.0077
113,000        113         0.0134              0.0072
114,000        114         0.0135              0.0080
115,000        115         0.0134              0.0079
116,000        116         0.0136              0.0083
117,000        117         0.0143              0.0080
118,000        118         0.0139              0.0080
119,000        119         0.0143              0.0080
120,000        120         0.0139              0.0079
121,000        121         0.0139              0.0083
122,000        122         0.0146              0.0081
123,000        123         0.0143              0.0084
124,000        124         0.0148              0.0082
125,000        125         0.0149              0.0083
126,000        126         0.0149              0.0083
127,000        127         0.0149              0.0083
128,000        128         0.0337              0.0080
129,000        129         0.0156              0.0084
130,000        130         0.0162              0.0091
131,000        131         0.0152              0.0087
132,000        132         0.0151              0.0085
133,000        133         0.0158              0.0087
134,000        134         0.0153              0.0090
135,000        135         0.0152              0.0087
136,000        136         0.0155              0.0086
137,000        137         0.0156              0.0085
138,000        138         0.0166              0.0088
139,000        139         0.0160              0.0088
140,000        140         0.0157              0.0095
141,000        141         0.0158              0.0089
142,000        142         0.0158              0.0090
143,000        143         0.0161              0.0093
144,000        144         0.0164              0.0090
145,000        145         0.0166              0.0097
146,000        146         0.0166              0.0090
147,000        147         0.0164              0.0091
148,000        148         0.0172              0.0092
149,000        149         0.0168              0.0100
150,000        150         0.0171              0.0094
151,000        151         0.0169              0.0092
152,000        152         0.0168              0.0099
153,000        153         0.0173              0.6075
154,000        154         0.0204              0.0104
155,000        155         0.0187              0.0101
156,000        156         0.0180              0.0099
157,000        157         0.0185              0.0105
158,000        158         0.0179              0.0093
159,000        159         0.0181              0.0103
160,000        160         0.0179              0.0099
161,000        161         0.0188              0.0104
162,000        162         0.0190              0.0096
163,000        163         0.0183              0.0107
164,000        164         0.0184              0.0098
165,000        165         0.0187              0.0103
166,000        166         0.0183              0.0098
167,000        167         0.0189              0.0110
168,000        168         0.0188              0.0107
169,000        169         0.0194              0.0105
170,000        170         0.0249              0.0153
171,000        171         0.0191              0.0110
172,000        172         0.0193              0.0105
173,000        173         0.0197              0.0108
174,000        174         0.0191              0.0107
175,000        175         0.0197              0.0104
176,000        176         0.0199              0.0109
177,000        177         0.0213              0.0109
178,000        178         0.0193              0.0111
179,000        179         0.0198              0.0107
180,000        180         0.0198              0.0110
181,000        181         0.0205              0.0113
182,000        182         0.0203              0.0113
183,000        183         0.0204              0.0113
184,000        184         0.0203              0.0111
185,000        185         0.0208              0.0106
186,000        186         0.0205              0.0113
187,000        187         0.0216              0.0116
188,000        188         0.0208              0.0112
189,000        189         0.0207              0.0118
190,000        190         0.0321              0.0118
191,000        191         0.0221              0.0117
192,000        192         0.0209              0.0119
193,000        193         0.0211              0.0117
194,000        194         0.0214              0.0118
195,000        195         0.0217              0.0120
196,000        196         0.0214              0.0121
197,000        197         0.0210              0.0120
198,000        198         0.0210              0.0118
199,000        199         0.0213              0.0125
200,000        200         0.0220              0.0121
201,000        201         0.0056              0.0025
202,000        202         0.0040              0.0027
203,000        203         0.0040              0.0020
204,000        204         0.0039              0.0025
205,000        205         0.0040              0.0025
206,000        206         0.0043              0.0023
207,000        207         0.0044              0.0029
208,000        208         0.0041              0.0024
209,000        209         0.0042              0.0028
210,000        210         0.0041              0.0022
211,000        211         0.0043              0.0024
212,000        212         0.0042              0.0022
213,000        213         0.0085              0.0022
214,000        214         0.0043              0.0028
215,000        215         0.0191              0.0026
216,000        216         0.0042              0.0024
217,000        217         0.0042              0.0023
218,000        218         0.0042              0.0024
219,000        219         0.0051              0.0023
220,000        220         0.0042              0.0025
221,000        221         0.0041              0.0022
222,000        222         0.0042              0.0027
223,000        223         0.0042              0.0023
224,000        224         0.0042              0.0023
225,000        225         0.0051              0.0026
226,000        226         0.0044              0.0025
227,000        227         0.0043              0.0022
228,000        228         0.0045              0.0025
229,000        229         0.0044              0.0023
230,000        230         0.0045              0.0025
231,000        231         0.0044              0.0025
232,000        232         0.0044              0.0024
233,000        233         0.0046              0.0025
234,000        234         0.0049              0.0023
235,000        235         0.0046              0.0025
236,000        236         0.0045              0.0026
237,000        237         0.0045              0.0025
238,000        238         0.0046              0.0029
239,000        239         0.0045              0.0024
240,000        240         0.0050              0.0025
241,000        241         0.0046              0.0024
242,000        242         0.0045              0.0026
243,000        243         0.0047              0.0025
244,000        244         0.0046              0.0025
245,000        245         0.0047              0.0026
246,000        246         0.0049              0.0029
247,000        247         0.0047              0.0028
248,000        248         0.0047              0.0026
249,000        249         0.0047              0.0026
250,000        250         0.0047              0.0026
251,000        251         0.0063              0.0026
252,000        252         0.0051              0.0026
253,000        253         0.0047              0.0025
254,000        254         0.0056              0.0034
255,000        255         0.0047              0.0026
256,000        256         0.0047              0.0026
257,000        257         0.0048              0.0026
258,000        258         0.0049              0.0030
259,000        259         0.0050              0.0026
260,000        260         0.0048              0.0027
261,000        261         0.0048              0.0027
262,000        262         0.0048              0.0026
263,000        263         0.0052              0.0028
264,000        264         0.0049              0.0026
265,000        265         0.0053              0.0029
266,000        266         0.0050              0.0028
267,000        267         0.0049              0.0027
268,000        268         0.0050              0.0027
269,000        269         0.0050              0.0028
270,000        270         0.0051              0.0031
271,000        271         0.0051              0.0027
272,000        272         0.0054              0.0027
273,000        273         0.0051              0.0031
274,000        274         0.0054              0.0027
275,000        275         0.0052              0.0029
276,000        276         0.0057              0.0034
277,000        277         0.0051              0.0044
278,000        278         0.0059              0.0030
279,000        279         0.0050              0.0028
280,000        280         0.0052              0.0031
281,000        281         0.0053              0.0029
282,000        282         0.0051              0.0029
283,000        283         0.0051              0.0029
284,000        284         0.0056              0.0029
285,000        285         0.0053              0.0031
